source,target,path_gain_mean,path_gain_ci_low,path_gain_ci_high
L0H12,MLP11,0.07308782637119293,0.05671899951994419,0.09169547222554683
L0H12,MLP27,0.06788492202758789,0.05484246239066124,0.08008162137120961
L0H5,MLP27,0.05391330271959305,0.04366159783676267,0.06538157816976309
L0H5,MLP22,0.04932768642902374,0.03673748029395938,0.06409951280802488
L0H12,MLP22,0.04481297358870506,0.0310451602563262,0.058428549114614724
L0H7,MLP22,0.02682489901781082,0.01554780367296189,0.03862603884190321
L0H7,MLP11,0.02494918182492256,0.013264384982176126,0.03826857674866914
L0H7,MLP27,0.022800954058766365,0.015567299420945346,0.03231834573671222
L0H5,MLP11,0.008679414168000221,-0.004714340914506465,0.022146041318774217
