q,P_clean,P_corr,TE
1,0.5116651,0.037148844,0.47451627
2,0.94606435,0.022368468,0.92369586
3,0.70304877,0.008783076,0.69426566
4,0.979963,0.092036754,0.8879262
5,0.91442674,0.004985935,0.9094408
6,0.9511162,0.2861247,0.6649915
7,0.94046426,0.20543858,0.73502564
9,0.95849806,0.31711265,0.64138544
11,0.8704381,0.010399949,0.86003816
13,0.911249,0.18188415,0.7293648
14,0.5654489,0.025946047,0.53950286
15,0.9009323,0.0374114,0.8635209
16,0.52016765,0.0052047893,0.51496285
17,0.8352885,0.01860419,0.81668437
18,0.7772081,0.08082187,0.6963862
19,0.56232405,0.0013145247,0.5610095
20,0.9286418,0.197576,0.7310658
21,0.9552726,0.020903714,0.9343689
22,0.6048697,0.00020295846,0.60466677
23,0.8134823,0.015831042,0.79765123
25,0.9915406,0.2746361,0.7169045
26,0.9233018,0.05605563,0.8672462
28,0.84194154,0.023372764,0.81856877
30,0.9560742,0.09003214,0.866042
31,0.9592491,0.18652666,0.7727224
32,0.9729633,0.042236425,0.9307268
33,0.5681861,0.00057921314,0.56760687
36,0.9746069,0.2961951,0.6784118
37,0.9294123,0.036739137,0.8926732
38,0.55107164,0.024720322,0.52635133
39,0.970487,0.29207036,0.6784166
41,0.7231467,0.008371659,0.714775
43,0.9828691,0.02211514,0.960754
44,0.6666622,0.00162408,0.6650381
45,0.9778854,0.3183781,0.65950733
46,0.96525115,0.07886303,0.8863881
48,0.7070693,0.005713733,0.7013555
49,0.94578767,0.030975293,0.9148124
50,0.7545584,0.027322344,0.72723603
53,0.97410417,0.07803042,0.89607376
54,0.9865037,0.08165898,0.90484476
55,0.9708156,0.27578607,0.6950295
56,0.95138586,0.008896725,0.94248915
57,0.6753526,0.1239719,0.5513807
58,0.8845799,0.028938504,0.85564137
59,0.8699631,0.02784408,0.84211904
60,0.6398855,0.05714605,0.5827394
61,0.9859242,0.29166472,0.69425946
63,0.96167785,0.41214335,0.5495345
67,0.96771014,0.027258236,0.9404519
68,0.92862517,0.014572928,0.91405225
71,0.9209068,0.0069756196,0.9139312
72,0.60025305,0.006437028,0.59381604
73,0.8458875,0.017738042,0.82814944
77,0.88270676,0.12899981,0.75370693
78,0.6852363,0.004448935,0.6807873
80,0.99228454,0.26056474,0.7317198
82,0.85257983,0.0006401272,0.8519397
83,0.45760715,0.007800265,0.4498069
84,0.67745507,0.07873983,0.59871525
85,0.9876018,0.0076340903,0.9799677
87,0.7302354,0.00070326345,0.7295321
88,0.8282886,0.063606545,0.76468205
89,0.9727921,0.013727805,0.9590643
90,0.9201484,0.096799254,0.8233491
91,0.74787253,0.002446021,0.74542654
92,0.37934658,0.022108665,0.3572379
94,0.9628646,0.077058874,0.8858057
96,0.49945444,0.0018928781,0.49756157
97,0.7451142,0.03792963,0.70718455
98,0.9678935,0.089273445,0.87862
100,0.46275827,0.009931299,0.45282698
101,0.9055784,0.009255963,0.8963224
102,0.53006774,4.686749e-07,0.53006727
103,0.9034401,0.0027746318,0.90066546
104,0.7468001,0.004326054,0.7424741
105,0.6651752,0.014106847,0.65106833
106,0.97290546,0.061145425,0.91176003
107,0.91260105,0.15874338,0.7538577
108,0.68542665,0.00021735275,0.6852093
109,0.89130074,0.190328,0.70097274
111,0.4789261,0.005132161,0.47379392
112,0.78794223,0.0007216453,0.7872206
113,0.6072955,0.043679994,0.5636155
115,0.5555588,0.0023844198,0.5531744
118,0.82383186,0.053540535,0.7702913
119,0.57304895,0.0046715653,0.5683774
121,0.93977636,8.647213e-06,0.9397677
122,0.8898569,0.015807146,0.8740497
123,0.95345926,0.027908312,0.92555094
126,0.6456202,0.03904294,0.6065773
129,0.9228832,0.015189429,0.9076938
130,0.95012337,0.36305282,0.5870706
131,0.98677605,0.0740067,0.9127694
133,0.5997948,0.1254786,0.4743162
134,0.6665489,0.013247416,0.6533015
136,0.8529318,0.01577574,0.83715606
137,0.75983936,0.005814889,0.75402445
138,0.8584821,0.11475036,0.74373174
139,0.54528385,0.019878687,0.52540517
140,0.9032871,0.12230759,0.7809795
141,0.9832548,0.19201045,0.7912443
142,0.97184765,0.26828948,0.7035582
143,0.9184686,0.032302845,0.88616574
144,0.94632876,5.2287935e-05,0.9462765
146,0.700694,0.058546007,0.642148
148,0.45037928,0.011444768,0.4389345
149,0.96699333,0.09047347,0.87651986
150,0.5838559,0.0002024048,0.5836535
151,0.4910634,0.004390248,0.48667315
152,0.8546967,0.05412116,0.80057555
153,0.9767874,0.102477595,0.8743098
155,0.5808628,0.0034657265,0.5773971
156,0.89456654,0.056943115,0.8376234
157,0.9630011,0.13926998,0.82373106
158,0.7275715,0.0006630361,0.72690845
161,0.7668106,0.002356518,0.76445407
162,0.776475,0.0062419237,0.7702331
163,0.8282441,0.02180512,0.806439
164,0.929207,0.00916714,0.9200399
