metric,peak_layer,peak_AIE_mean,peak_AIE_ci_low,peak_AIE_ci_high
state_trigger,11,0.12810112535953522,0.10885354653000831,0.14851918928325175
state_end,18,0.7383212447166443,0.6871466934680939,0.7852425366640091
mlp_trigger,0,0.022748487070202827,-0.001681894017383456,0.04949569795280695
mlp_end,15,0.7411546111106873,0.6898251950740815,0.7885950371623038
attn_trigger,15,0.0843343734741211,0.07040029149502516,0.09962253868579862
attn_end,13,0.7385005354881287,0.6875391587615013,0.7859524190425873
early_mlp_minus_attn_peak,-1,-0.030318617820739746,-0.041472069825977086,-0.019398002512753018
late_attn_minus_mlp_peak,-1,-0.0021125455386936665,-0.00372687861090526,-0.0003822550221229906
