metric,peak_layer,peak_AIE_mean,peak_AIE_ci_low,peak_AIE_ci_high
state_trigger,0,0.8215144872665405,0.7995421111583709,0.8447715550661087
state_end,20,0.789467990398407,0.7690370693802834,0.811000682413578
mlp_trigger,0,0.3830575942993164,0.34358944147825243,0.4208728373050689
mlp_end,23,0.5672557950019836,0.5301910102367401,0.6052394360303879
attn_trigger,0,0.8713973164558411,0.8515758380293846,0.8902311652898788
attn_end,16,0.8143795728683472,0.7956041097640991,0.8335071533918381
early_mlp_minus_attn_peak,-1,-0.4810418486595154,-0.5224350422620774,-0.4414382763206959
late_attn_minus_mlp_peak,-1,0.2503555715084076,0.21989661157131196,0.28003311827778815
